id,display_name,works_count,h_index,country_code,works_api_url
https://openalex.org/A5041299495,James W. Crissman,26,13,US,https://api.openalex.org/works?filter=author.id:A5041299495
https://openalex.org/A5059953820,Bella Struminskaya,55,11,DE,https://api.openalex.org/works?filter=author.id:A5059953820
https://openalex.org/A5100391619,Jisoo Kim,77,17,KR,https://api.openalex.org/works?filter=author.id:A5100391619
https://openalex.org/A5079154791,Kokil Jaidka,162,24,IN,https://api.openalex.org/works?filter=author.id:A5079154791
https://openalex.org/A5049483871,Haohan Chen,68,12,CN,https://api.openalex.org/works?filter=author.id:A5049483871
https://openalex.org/A5092489673,Alicja Chaszczewicz,4,1,,https://api.openalex.org/works?filter=author.id:A5092489673
https://openalex.org/A5043162191,Kevin Tang,108,22,CA,https://api.openalex.org/works?filter=author.id:A5043162191
https://openalex.org/A5082353608,Christian Zingg,7,4,CH,https://api.openalex.org/works?filter=author.id:A5082353608
https://openalex.org/A5044191812,Vinícius Andrade Brei,63,14,BR,https://api.openalex.org/works?filter=author.id:A5044191812
https://openalex.org/A5096557853,Louisiana State University,1,1,US,https://api.openalex.org/works?filter=author.id:A5096557853
https://openalex.org/A5010544062,Rachith Aiyappa,4,2,US,https://api.openalex.org/works?filter=author.id:A5010544062
https://openalex.org/A5107436225,Shadi Rezapour,1,0,,https://api.openalex.org/works?filter=author.id:A5107436225
https://openalex.org/A5066048702,Stefano Balietti,39,14,CH,https://api.openalex.org/works?filter=author.id:A5066048702
https://openalex.org/A5072971093,Sharaj Kunjar,2,1,IN,https://api.openalex.org/works?filter=author.id:A5072971093
https://openalex.org/A5058457102,Ayan-Yue Gupta,22,2,GB,https://api.openalex.org/works?filter=author.id:A5058457102
https://openalex.org/A5056889621,Dan Svirsky,15,5,US,https://api.openalex.org/works?filter=author.id:A5056889621
https://openalex.org/A5028932589,Akira Gotō,558,44,JP,https://api.openalex.org/works?filter=author.id:A5028932589
https://openalex.org/A5100756799,Yang Zhou,108,39,CN,https://api.openalex.org/works?filter=author.id:A5100756799
https://openalex.org/A5073006299,Xizhao Wang,522,59,CN,https://api.openalex.org/works?filter=author.id:A5073006299
https://openalex.org/A5007313170,Josh Nguyen,1,1,,https://api.openalex.org/works?filter=author.id:A5007313170
https://openalex.org/A5100615684,Zhen Xu,238,62,CN,https://api.openalex.org/works?filter=author.id:A5100615684
https://openalex.org/A5019426968,Dawn Song,532,117,US,https://api.openalex.org/works?filter=author.id:A5019426968
